11-Deoxycortisol,iupacName,"(1R,3aS,3bR,9aR,9bS,11aS)-1-Hydroxy-1-(2-hydroxy-1-oxoethyl)-9a,11a-dimethyl-1,2,3,3a,3b,4,5,8,9,9a,9b,10,11,11a-tetradecahydro-7H-cyclopenta[a]phenanthren-7-one",Valid,"['http://dbpedia.org/ontology/Drug', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
11-Deoxycortisol,iupacName,"17α,21-Dihydroxypregn-4-ene-3,20-dione",Valid,"['http://dbpedia.org/ontology/Drug', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,(+)-Pinitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,(D)-(+)-Pinitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,(D)-(+)-chiro-Inositol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,(D)-Pinitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,3-O-Methyl-(D)-chiro-inositol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,Inzitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,Pinnitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pinitol,alternativeName,Sennitol,Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
