Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/NaturalPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MountainRange,"{'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MountainRange,"{'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/NaturalPlace'}",0,0,0,2,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MusicalArtist,"{'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/Group', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",12,8,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MusicalArtist,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",5,5,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Organisation,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Museum', 'http://dbpedia.org/ontology/Building'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/Organisation,"{'http://dbpedia.org/ontology/Hospital', 'http://dbpedia.org/ontology/building'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Organisation,"{'http://dbpedia.org/ontology/PeriodicalLiterature', 'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Newspaper'}",1,1,0,3,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Organisation,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Organisation,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/BasketballPlayer', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",2,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/University', 'http://dbpedia.org/ontology/EducationalInstitution'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/Anime', 'http://dbpedia.org/ontology/work', 'http://dbpedia.org/ontology/Cartoon'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/Group', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",6,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
