Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Nile,60,43,56,9,62,34
North_Sea,60,268,91,47,54,221
Pacific_Ocean,55,413,67,6,55,407
Panama_Canal,79,14,100,5,67,9
Rhine,30,161,83,6,28,155
South_China_Sea,72,219,99,78,57,141
Suez_Canal,45,33,0,0,45,33
Southern_Ocean,53,88,0,0,53,88
Volga,75,79,75,4,75,75
Yangtze,75,99,43,7,77,92
Yellow_River,58,45,56,9,58,36
Alps,96,112,100,14,95,98
Andes,93,135,79,14,94,121
Himalayas,92,105,83,12,94,93
Mount_Everest,97,70,100,1,97,69
Mount_Kilimanjaro,87,23,100,1,86,22
Rocky_Mountains,97,120,100,9,96,111
Sahara,6,18,0,0,6,18
History,68,360,0,0,68,360
Ancient_Egypt,95,39,67,3,97,36
Ancient_Greece,62,64,0,0,62,64
Bronze_Age,67,3,0,0,67,3
Gupta_Empire,38,13,44,9,25,4
Han_dynasty,88,33,50,4,93,29
Iron_Age,100,1,0,0,100,1
Maya_civilization,77,13,0,0,77,13
Mesopotamia,85,95,0,0,85,95
Prehistory,30,33,0,0,30,33
Roman_Empire,97,230,56,9,98,221
Sumer,85,13,0,0,85,13
Stone_Age,0,0,0,0,0,0
Tang_dynasty,87,61,62,8,91,53
Abbasid_Caliphate,88,205,55,11,90,194
Aztecs,17,6,0,0,17,6
Byzantine_Empire,93,255,50,8,95,247
Crusades,7,75,0,0,7,75
Holy_Roman_Empire,95,209,38,8,97,201
Inca_Empire,54,24,57,7,53,17
Mali_Empire,20,10,22,9,0,1
Middle_Ages,55,65,0,0,55,65
Ming_dynasty,90,102,80,5,91,97
Mongol_Empire,84,19,100,1,83,18
Ottoman_Empire,88,492,52,33,91,459
Renaissance,90,117,0,0,90,117
Vikings,13,31,0,0,13,31
Age_of_Enlightenment,80,54,0,0,80,54
American_Civil_War,87,245,73,11,87,234
Arab–Israeli_conflict,96,105,95,59,98,46
Apartheid,48,54,0,0,48,54
British_Empire,86,270,0,0,86,270
Cold_War,5,154,0,0,5,154
French_Revolution,52,27,0,0,52,27
Great_Depression,100,4,0,0,100,4
The_Holocaust,90,114,0,0,90,114
Industrial_Revolution,86,7,0,0,86,7
Nazi_Germany,80,490,88,8,80,482
Meiji_Restoration,100,4,0,0,100,4
Reformation,42,19,0,0,42,19
Russian_Revolution,52,31,0,0,52,31
Qing_dynasty,94,262,71,17,96,245
Soviet_Union,93,145,78,45,100,100
Vietnam_War,95,230,87,55,98,175
World_War_I,81,77,67,18,85,59
World_War_II,86,71,79,14,88,57
Language,59,58,0,0,59,58
Arabic,88,196,35,20,94,176
Bengali_language,9,67,0,0,9,67
Chinese_language,69,176,100,9,67,167
English_language,84,98,88,8,83,90
French_language,62,272,100,1,62,271
German_language,14,240,0,0,14,240
Greek_language,50,204,41,27,52,177
Hebrew_language,85,81,78,9,86,72
Hindustani_language,90,71,60,15,98,56
Korean_language,95,86,100,5,95,81
Japanese_language,22,250,0,1,22,249
Latin,80,212,83,6,80,206
Persian_language,88,129,82,17,89,112
Portuguese_language,73,139,64,14,74,125
Russian_language,10,257,0,0,10,257
Sanskrit,77,117,100,5,76,112
Spanish_language,70,267,89,9,69,258
Swahili_language,99,77,100,16,98,61
Turkish_language,51,172,88,25,44,147
Linguistics,53,223,0,0,53,223
Grammar,68,25,0,0,68,25
Word,0,0,0,0,0,0
Phoneme,100,1,0,0,100,1
Syllable,0,0,0,0,0,0
Writing_system,0,1,0,0,0,1
Arabic_script,0,2,0,0,0,2
Chinese_characters,0,4,0,0,0,4
Cyrillic_script,0,4,0,0,0,4
Greek_alphabet,0,6,0,0,0,6
Latin_script,25,4,0,0,25,4
Literacy,62,13,0,0,62,13
Translation,34,116,0,0,34,116
Literature,62,200,0,0,62,200
Prose,19,77,0,0,19,77
The_Art_of_War,100,8,100,7,100,1
Fiction,52,129,0,0,52,129
One_Thousand_and_One_Nights,86,7,100,3,75,4
Novel,56,151,0,0,56,151
Dream_of_the_Red_Chamber,67,6,75,4,50,2
The_Tale_of_Genji,100,17,100,10,100,7
Poetry,59,300,0,0,59,300
Epic_of_Gilgamesh,100,2,0,0,100,2
Iliad,0,2,0,0,0,2
Mahabharata,80,20,0,0,80,20
Shahnameh,0,0,0,0,0,0
Measurement,100,3,0,0,100,3
International_System_of_Units,0,0,0,0,0,0
Kilogram,0,2,0,0,0,2
Litre,15,59,0,0,15,59
Metre,100,1,0,0,100,1
Calendar,74,19,0,0,74,19
Gregorian_calendar,40,5,0,0,40,5
Clock,100,25,0,0,100,25
Second,100,2,0,0,100,2
Day,100,5,0,0,100,5
Year,0,0,0,0,0,0
Time_zone,100,50,0,0,100,50
Atheism,93,81,0,0,93,81
Beauty,71,31,0,0,71,31
Confucianism,95,61,0,0,95,61
Dialectic,100,19,0,0,100,19
Ethics,82,165,0,0,82,165
Epistemology,79,96,0,0,79,96
Free_will,100,16,0,0,100,16
Knowledge,100,5,0,0,100,5
Logic,60,122,0,0,60,122
Materialism,100,22,0,0,100,22
Philosophy,67,386,0,0,67,386
Reality,0,25,0,0,0,25
Truth,100,10,0,0,100,10
Fundamentalism,83,6,0,0,83,6
God,86,7,0,0,86,7
Monotheism,100,3,0,0,100,3
Polytheism,100,13,0,0,100,13
Myth,40,115,0,0,40,115
Reincarnation,71,7,0,0,71,7
Religion,75,252,0,0,75,252
Soul,50,2,0,0,50,2
Buddhism,67,145,0,0,67,145
Christianity,63,269,0,0,63,269
Catholic_Church,36,414,0,0,36,414
Protestantism,67,91,0,0,67,91
Hinduism,78,99,0,0,78,99
Islam,59,270,0,0,59,270
Shia_Islam,70,88,0,0,70,88
Sunni_Islam,63,120,0,0,63,120
Jainism,81,72,0,0,81,72
Judaism,61,107,0,0,61,107
Shinto,97,59,0,0,97,59
Sikhism,95,60,0,0,95,60
Taoism,92,66,0,0,92,66
Zoroastrianism,95,56,0,0,95,56
Science,70,228,0,0,70,228
Nature,26,58,0,0,26,58
Astronomy,59,189,0,0,59,189
Asteroid,100,19,0,0,100,19
Big_Bang,100,6,0,0,100,6
Black_hole,75,16,0,0,75,16
Comet,64,25,0,0,64,25
Galaxy,100,4,0,0,100,4
Milky_Way,75,4,0,0,75,4
Moon,94,167,68,19,97,148
Planet,50,2,0,0,50,2
Mercury,0,0,0,0,0,0
Venus,88,58,63,19,100,39
Earth,87,52,69,16,94,36
Mars,83,66,55,20,96,46
Jupiter,81,16,62,8,100,8
Saturn,76,17,71,14,100,3
Uranus,71,21,65,17,100,4
Neptune,77,26,73,22,100,4
Solar_System,100,5,0,0,100,5
Spaceflight,93,14,0,0,93,14
Star,0,3,0,0,0,3
Sun,86,14,0,0,86,14
Universe,100,2,0,0,100,2
Biology,50,125,0,0,50,125
DNA,86,28,0,0,86,28
Enzyme,79,14,0,0,79,14
Hormone,71,7,0,0,71,7
Protein,65,17,0,0,65,17
Botany,48,204,0,0,48,204
Death,62,13,0,0,62,13
Suicide,92,72,100,6,91,66
Ecology,49,104,0,0,49,104
Endangered_species,80,5,0,0,80,5
Life,67,3,0,0,67,3
Taxonomy_(biology),57,112,0,0,57,112
Species,100,1,0,0,100,1
Metabolism,53,38,0,0,53,38
Digestion,100,3,100,1,100,2
Photosynthesis,58,19,0,0,58,19
Respiration,0,0,0,0,0,0
Evolution,56,103,0,0,56,103
Reproduction,67,3,0,0,67,3
Pregnancy,96,28,100,17,91,11
Sex,89,9,0,0,89,9
Organism,0,0,0,0,0,0
Animal,92,64,0,0,92,64
Nematode,100,44,0,0,100,44
Mollusca,98,56,0,0,98,56
Arthropod,98,52,0,0,98,52
Insect,95,57,0,0,95,57
Ant,6,17,0,0,6,17
Bee,75,8,0,0,75,8
Mosquito,45,22,0,0,45,22
Spider,100,3,0,0,100,3
Chordate,100,50,0,0,100,50
Amphibian,80,20,0,0,80,20
Bird,71,14,0,0,71,14
Chicken,92,79,0,0,92,79
Columbidae,33,3,0,0,33,3
Fish,92,26,0,0,92,26
Shark,50,8,0,0,50,8
Mammal,98,54,0,0,98,54
Camel,100,3,0,0,100,3
Cat,9,22,0,0,9,22
Cattle,18,11,0,0,18,11
Cetacea,0,0,0,0,0,0
Dog,10,30,0,0,10,30
Horse,68,25,0,0,68,25
Sheep,55,11,0,0,55,11
Rodent,0,2,0,0,0,2
Pig,27,15,0,0,27,15
Primate,67,3,0,0,67,3
Human,6,54,0,0,6,54
Reptile,100,46,0,0,100,46
Dinosaur,80,10,0,0,80,10
Snake,86,7,0,0,86,7
Algae,55,11,0,0,55,11
Archaea,91,23,0,0,91,23
Bacteria,98,62,0,0,98,62
Fungus,97,72,0,0,97,72
Plant,98,62,0,0,98,62
Flower,100,9,0,0,100,9
Fruit,99,67,0,0,99,67
Tree,0,0,0,0,0,0
Protist,80,5,0,0,80,5
Anatomy,17,118,0,0,17,118
Cell,0,0,0,0,0,0
Circulatory_system,86,22,0,0,86,22
Blood,100,9,0,0,100,9
Heart,90,21,93,15,83,6
Endocrine_system,100,5,100,1,100,4
Gastrointestinal_tract,88,16,100,3,85,13
Large_intestine,100,9,100,7,100,2
Small_intestine,100,11,100,9,100,2
Liver,100,14,100,9,100,5
Muscle,100,4,0,0,100,4
Nervous_system,92,12,100,1,91,11
Brain,100,7,100,2,100,5
Nerve,100,3,0,0,100,3
Sensory_nervous_system,0,1,0,0,0,1
Ear,100,1,100,1,0,0
Nose,100,3,100,1,100,2
Eye,100,4,100,1,100,3
Taste,50,6,0,0,50,6
Reproductive_system,100,6,100,1,100,5
Respiratory_system,75,8,100,1,71,7
Skeleton,50,2,100,1,0,1
Skin,67,6,100,1,60,5
Medicine,65,275,0,0,65,275
Dentistry,58,77,0,0,58,77
Disease,67,12,0,0,67,12
Medication,93,135,0,0,93,135
Antibiotic,95,84,0,0,95,84
Health,58,77,0,0,58,77
Immune_system,75,8,0,0,75,8
Menstruation,100,2,0,0,100,2
Pandemic,50,2,0,0,50,2
Vaccine,75,77,0,0,75,77
Virus,90,10,0,0,90,10
Addiction,88,25,100,2,87,23
Ethanol,98,50,100,1,98,49
Tobacco,88,69,0,0,88,69
Alzheimer's_disease,89,64,100,14,86,50
Cancer,69,159,100,8,68,151
Chronic_obstructive_pulmonary_disease,100,28,100,17,100,11
Common_cold,93,14,100,7,86,7
Disability,55,11,0,0,55,11
Visual_impairment,89,38,100,16,82,22
Deafness,56,9,0,0,56,9
Mental_disorder,92,37,100,22,80,15
Epilepsy,92,49,100,21,86,28
Gastroenteritis,100,43,100,36,100,7
