Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
institution,0,2,0,107,0,1,0,0,0,4,10,0
instrument,67,0,0,0,0,0,0,0,0,0,0,26
isPartOfMilitaryConflict,0,11,0,4,65,0,0,0,0,0,0,0
island,0,0,0,22,0,0,0,0,0,0,0,0
keyPerson,0,8,0,6,0,0,0,0,0,0,2,3
lake,2,0,0,0,0,0,0,0,0,0,0,0
language,0,0,0,185,14,0,0,0,0,0,1,0
languageRegulator,0,0,0,8,0,25,0,0,0,0,2,0
launchSite,0,0,0,2,0,0,0,0,0,0,0,0
league,0,0,0,4,0,0,0,0,0,0,0,0
legislature,0,0,0,0,0,0,0,0,0,0,1,0
license,0,0,0,0,0,0,0,0,0,2,0,0
locatedInArea,0,0,0,447,0,0,0,0,0,0,0,0
location,6,5,0,0,0,0,0,0,0,0,2,0
locationCity,0,0,0,167,0,0,0,0,0,0,0,0
locationCountry,0,0,0,90,0,0,0,0,0,0,1,0
lowestPlace,0,0,0,2,0,0,0,0,0,0,0,0
lyrics,0,2,0,0,0,0,0,0,0,0,0,0
manager,0,0,0,3,0,0,0,0,0,0,0,0
managerClub,0,0,0,7,0,0,0,0,0,0,0,0
manufactory,0,0,0,1,0,0,0,0,0,0,0,0
manufacturer,0,2,0,6,0,0,0,0,0,0,0,0
map,0,0,0,5,0,0,0,0,0,0,0,0
march,0,1,0,0,0,1,0,0,0,0,0,0
mayor,0,0,0,1,0,0,0,0,0,0,0,0
medicalSpecialty,0,0,0,0,0,0,0,0,0,2,2,0
mergedWith,0,0,0,1,0,0,0,0,0,0,0,0
militaryBranch,0,0,0,2,24,0,0,0,0,0,2,1
militaryRank,0,0,0,1,0,0,0,0,0,0,0,0
militaryUnit,0,1,0,3,1,1,0,0,0,0,2,1
mother,0,3,0,1,0,0,0,0,0,0,0,0
mountainRange,0,0,0,2,0,0,0,0,0,0,0,0
mouthMountain,0,0,0,640,0,0,0,0,0,0,0,0
mouthPlace,0,0,0,466,0,0,0,0,0,0,0,0
movement,1,22,0,1,18,6,0,2,4,1,50,0
museum,8,0,0,25,0,0,0,0,0,1,2,0
musicBy,0,4,0,0,0,0,0,0,0,0,0,0
musicComposer,0,193,0,2,0,0,0,0,0,1,0,0
musicSubgenre,1,0,0,1,0,0,0,0,0,0,0,0
narrator,0,7,0,0,0,0,0,0,0,0,0,0
nationalTeam,0,0,0,3,0,0,0,0,0,0,0,0
nationality,0,4,0,59,6,269,0,0,0,1,0,0
nearestCity,1,0,0,12,0,0,0,0,0,0,0,0
network,1,0,0,6,0,1,0,0,0,0,0,1
nobelLaureates,0,0,0,0,0,0,0,0,0,1,0,0
notableCommander,0,8,0,0,0,0,0,0,0,0,0,0
notableWork,6,34,0,30,2,8,0,0,0,2,0,0
occupation,488,18,11,111,53,133,0,53,6,196,234,67
officerInCharge,0,0,0,1,0,0,0,0,0,0,0,0
openingTheme,0,3,0,0,0,0,0,0,0,0,0,0
operatingSystem,0,0,0,0,0,0,0,0,0,0,0,1
opponent,0,0,0,1,5,0,0,0,0,0,0,0
origin,0,0,0,7,1,0,0,0,0,0,0,0
outflow,0,0,1,101,0,0,0,0,0,0,0,0
owner,2,15,0,230,8,1,0,0,0,0,11,0
owningCompany,0,3,0,31,0,0,0,0,0,0,0,0
parent,0,25,0,1,0,2,0,0,0,0,0,0
parentCompany,0,4,0,2,0,0,0,0,0,0,3,0
parentMountainPeak,0,0,0,1,0,0,0,0,0,0,0,0
parentOrganisation,0,1,0,3,0,0,0,0,0,0,48,0
partner,0,6,0,0,0,0,0,0,0,0,0,0
party,0,2,0,0,0,0,0,0,0,0,7,0
patron,0,2,0,0,0,1,0,0,0,1,0,0
person,0,0,0,42,0,1,0,0,0,0,1,0
place,1,1,0,472,13,0,0,0,0,0,0,0
placeOfBurial,1,0,0,0,0,0,0,0,0,0,0,0
politician,0,0,0,16,0,0,0,0,0,0,0,0
populationPlace,0,0,0,12,0,1,0,0,0,0,0,0
presenter,0,4,0,26,52,0,0,0,0,1,26,1
president,0,1,0,1,0,0,0,0,0,0,0,0
