Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
category,0,139,0,0,0,1,0,0,0,0,1,7,1
causalties,0,0,0,0,389,0,0,0,0,0,0,0,0
ceo,0,0,0,1,0,0,0,1,0,0,0,1,0
ceremonialCounty,0,0,1,0,0,0,0,0,0,0,0,0,0
chEBI,0,0,0,0,0,0,0,0,0,4,0,0,0
chEMBL,0,0,0,0,0,0,0,0,0,4,0,0,0
chairman,0,0,1,24,0,0,0,49,0,0,2,9,0
chairperson,0,0,0,0,0,0,0,3,0,0,0,1,0
champion,0,0,0,36,0,0,0,141,0,0,0,0,0
championInDoubleFemale,0,0,0,1,0,0,0,141,0,0,0,0,0
championInDoubleMale,0,0,0,1,0,0,0,262,0,0,0,0,0
championInMixedDouble,0,0,0,0,0,0,0,66,0,0,0,0,0
championInSingleFemale,0,0,0,1,0,0,0,224,0,0,0,0,0
championInSingleMale,0,0,0,1,0,0,0,620,0,0,0,0,0
chancellor,0,0,0,1,0,0,0,242,0,0,0,19,0
channel,0,0,0,15,0,0,0,0,0,1,0,395,1
chaplain,0,0,0,0,0,0,0,0,0,0,1,0,0
characterInPlay,0,0,0,0,0,45,0,0,0,0,0,0,0
child,0,6,3,12,5,5,0,2201,0,0,65,22,1
childOrganisation,0,1,0,16,15,1,0,0,0,3,0,9,5
choreographer,0,0,0,0,0,0,0,3,0,0,0,0,0
cinematography,0,20,0,0,0,0,0,75,0,0,0,0,0
circulation,0,0,0,0,0,0,0,0,0,0,0,21,0
citizenship,17,0,0,2808,318,51,0,52,0,0,0,1,0
city,0,46,17,12647,28,0,0,1,0,2,0,90,5
class,0,52,583,1,0,0,0,0,0,27,0,4,479
closed,0,0,0,0,0,0,0,0,0,0,0,1,0
closingFilm,0,1,0,0,0,0,0,0,0,0,0,0,0
club,0,4,0,830,1,0,0,16,0,0,0,18,1
cmykCoordinateBlack,0,0,0,0,0,0,0,0,0,2,0,0,0
cmykCoordinateCyanic,0,0,0,0,0,0,0,0,0,2,0,0,0
cmykCoordinateMagenta,0,0,0,0,0,0,0,0,0,2,0,0,0
cmykCoordinateYellow,0,0,0,0,0,0,0,0,0,2,0,0,0
coach,0,1,0,12,0,0,0,36,0,0,0,3,0
coachClub,0,0,0,1,0,0,0,0,0,0,0,3,0
college,0,0,0,1,0,0,0,10,0,0,0,380,0
colour,0,0,3,5,5,3,0,0,0,622,0,30,4
colourHexCode,0,0,0,0,0,0,0,0,0,13,0,0,0
colourName,0,0,0,0,5,0,0,0,0,0,0,0,0
combatant,0,0,0,0,1054,0,0,0,0,0,0,0,0
commandStructure,0,0,0,15,9,1,0,1,0,0,0,14,0
commander,3,6,4,25,2506,0,0,3984,0,0,10,250,0
committeeInLegislature,0,0,0,0,0,0,0,0,0,0,0,25,1
company,0,24,0,9,0,0,0,59,0,2,0,342,3
comparable,0,0,0,0,0,0,0,0,0,0,0,0,11
completionDate,0,0,0,0,0,0,0,0,0,0,0,8,0
complications,1,0,31,0,0,0,0,0,0,0,0,1,0
composer,0,8,0,3,0,0,0,798,0,0,1,20,3
computingPlatform,0,53,0,0,0,0,0,0,0,0,0,63,463
connotation,6,1,1,0,1,0,0,1,2,17,6,8,1
constituencyDistrict,0,2,1,1226,4,1,0,0,0,0,0,11,1
constructionMaterial,0,0,22,0,0,0,0,0,0,127,0,0,257
convictionPenalty,0,0,4,0,0,0,0,0,0,0,0,67,0
cosparId,0,0,0,0,0,0,0,0,0,4,0,0,3
cost,0,6,0,0,0,0,0,0,0,0,0,0,3
councilArea,0,0,0,34,0,0,0,0,0,0,0,0,0
country,33,20,1,12291,2235,95,0,80,1,7,206,313,18
countryCode,0,0,0,194,1,0,0,0,0,0,0,13,0
countryOrigin,0,0,0,14,0,0,0,0,0,0,0,0,2
countryWithFirstAstronaut,0,0,0,28,0,0,0,0,0,0,0,0,0
countryWithFirstSatellite,0,0,0,70,0,0,0,0,0,0,0,0,0
countryWithFirstSatelliteLaunched,0,0,0,2,0,0,0,0,0,0,0,0,0
countryWithFirstSpaceflight,0,0,0,3,0,0,0,0,0,0,0,0,0
county,0,0,0,595,0,0,0,0,0,0,0,0,1
countySeat,0,0,0,8,0,0,0,0,1,0,0,0,0
coverArtist,0,0,0,0,0,2,0,124,0,4,1,2,2
cpu,0,0,0,0,0,0,0,0,0,51,0,4,25
creativeDirector,0,0,0,0,0,0,0,2,0,0,0,0,0
creator,0,7,0,2,9,18,0,908,0,0,1,82,1
creatorOfDish,3,0,0,8,4,0,0,7,0,0,0,1,1
crewMember,0,0,0,0,0,0,0,7,0,0,0,0,4
crosses,0,0,0,611,0,0,0,0,0,8,0,0,15
cuisine,0,0,0,0,0,0,0,0,0,0,0,0,1
curator,0,1,1,0,3,0,0,1,0,0,0,0,0
currency,0,0,3,216,221,0,0,0,0,40,0,277,3
currencyCode,0,0,0,180,0,0,0,0,0,0,0,1,0
currentMember,0,0,1,1,5,0,0,188,0,1,2,11,0
currentPartner,0,0,0,0,0,0,0,2,0,0,0,0,0
currentProduction,0,11,0,0,0,4,0,0,0,0,0,1,0
currentSeason,0,3,0,0,0,0,0,0,0,0,0,0,0
dam,0,0,0,1,0,0,0,0,0,0,0,0,0
damsire,0,0,0,2,0,0,0,0,0,0,0,0,0
date,0,0,0,0,87,0,0,0,0,0,0,13,0
dateUse,0,0,0,1,0,0,0,0,0,0,0,0,0
dcc,0,0,0,0,0,19,0,0,0,0,0,0,0
dean,0,0,1,0,0,0,0,0,0,0,0,1,0
deathCause,0,3,720,12,41,0,0,75,0,9,0,226,73
deathDate,0,0,0,0,0,0,0,1388,0,0,0,0,0
deathPlace,0,120,49,21669,2741,0,0,2177,0,8,12,34,4
deathYear,0,0,0,0,0,0,0,721,0,0,2,0,0
debutTeam,0,0,0,0,0,0,0,5,0,0,0,0,0
declination,0,0,0,0,0,0,0,0,0,6,0,0,0
demolitionDate,0,0,0,0,1,0,0,0,0,0,0,0,0
demonym,0,5,0,479,81,0,0,0,0,0,0,6,0
denomination,1,0,0,3,0,0,0,0,0,0,116,1,0
density,0,0,0,0,0,0,0,0,0,2,0,0,0
deputy,0,0,0,0,0,0,0,16,0,0,0,1,0
derivative,0,269,0,0,0,0,0,0,0,0,0,1,0
designCompany,0,0,0,1,0,0,0,22,0,0,0,0,14
designer,0,7,0,8,1,0,0,68,0,0,0,46,27
destination,0,1,1,177,1,0,0,0,0,0,0,0,2
detectionMethod,0,0,0,0,0,0,0,0,0,2,0,0,0
developer,0,7,1,9,1,0,0,59,0,1,1,417,96
differentialDiagnosis,7,0,251,0,0,0,0,0,0,2,0,7,0
