Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Gothic_architecture,100,63,0,0,100,63
Landscape_architecture,62,37,0,0,62,37
Abu_Simbel,0,2,0,0,0,2
Aït_Benhaddou,0,0,0,0,0,0
Aswan_Dam,78,37,71,28,100,9
Giza_Necropolis,0,1,0,0,0,1
Great_Mosque_of_Djenné,0,0,0,0,0,0
Great_Sphinx_of_Giza,100,2,0,0,100,2
Karnak,50,2,0,0,50,2
Luxor_Temple,0,0,0,0,0,0
"Rock-Hewn_Churches,_Lalibela",0,0,0,0,0,0
Saint_Catherine's_Monastery,33,3,0,0,33,3
Temple_of_Edfu,0,0,0,0,0,0
Great_Zimbabwe,50,2,0,0,50,2
Chichen_Itza,20,5,0,0,20,5
Christ_the_Redeemer,0,0,0,0,0,0
Chrysler_Building,67,18,85,13,20,5
Empire_State_Building,50,22,64,11,36,11
Fallingwater_Residence,0,0,0,0,0,0
Flatiron_Building,89,9,86,7,100,2
Getty_Center,92,12,100,4,88,8
Guggenheim_New_York,0,0,0,0,0,0
Maracanã_Stadium,16,76,100,12,0,64
Machu_Picchu,0,3,0,0,0,3
Mexico_City_Metropolitan_Cathedral,50,14,55,11,33,3
Willis_Tower,52,23,67,18,0,5
Statue_of_Liberty,71,7,100,2,60,5
The_Pyramid_of_the_Sun,0,0,0,0,0,0
Uxmal,33,3,0,0,33,3
White_House,17,64,71,7,11,57
World_Trade_Center,0,0,0,0,0,0
Angkor_Wat,50,2,0,0,50,2
Arg-e_Bam,0,0,0,0,0,0
Badshahi_Mosque,0,0,0,0,0,0
Bagan,81,31,88,8,78,23
Borobudur,100,5,100,2,100,3
Burj_Khalifa,94,17,93,14,100,3
Burj_Al_Arab,92,12,92,12,0,0
Chinese_garden,100,3,0,0,100,3
Chogha_Zanbil,0,0,0,0,0,0
Forbidden_City,22,27,100,6,0,21
Great_Wall_of_China,40,5,100,2,0,3
Hawa_Mahal,100,5,100,5,0,0
Himeji_Castle,89,27,96,25,0,2
Hōryū-ji,0,0,0,0,0,0
Itsukushima_Shrine,0,0,0,0,0,0
Khajuraho,87,15,100,7,75,8
Krak_des_Chevaliers,0,3,0,0,0,3
Masjid_al-Haram,50,4,0,0,50,4
Ming_tombs,0,0,0,0,0,0
Mogao_Caves,67,3,100,2,0,1
Petra,100,15,100,2,100,13
Potala_Palace,0,0,0,0,0,0
Prambanan,100,5,100,5,0,0
Red_Fort,71,7,100,3,50,4
Registan,0,0,0,0,0,0
Shwedagon_Pagoda,0,2,0,0,0,2
Taj_Mahal,100,3,100,2,100,1
Temple_of_Confucius,0,0,0,0,0,0
Terracotta_Army,0,0,0,0,0,0
Umayyad_Mosque,100,1,0,0,100,1
Acropolis_of_Athens,100,6,0,0,100,6
Alhambra,90,10,100,2,88,8
"Saint_Alexander_Nevsky_Cathedral,_Sofia",0,2,0,0,0,2
Cathedral-Basilica_of_Our_Lady_of_the_Pillar,50,2,0,0,50,2
"Belvedere,_Vienna",0,5,0,0,0,5
Buckingham_Palace,7,27,0,0,7,27
